epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,11185.9,1.0246,0.71675,1.19487,0.91459,0.87097,0.93043,0.6419,1.04755,0.62097,1.20341,0.0009308,0.0009308,0.0009308
56,11395.7,0.98133,0.68686,1.18221,0.90091,0.85935,0.91741,0.64504,1.0134,0.60769,1.18628,0.000911,0.000911,0.000911
57,11606.4,1.00053,0.7162,1.18906,0.91335,0.85686,0.93189,0.64945,1.00965,0.60048,1.17713,0.0008912,0.0008912,0.0008912
58,11816,1.00472,0.71783,1.19007,0.9038,0.87278,0.92857,0.64803,1.0297,0.60623,1.19895,0.0008714,0.0008714,0.0008714
59,12027.4,1.00391,0.70691,1.1919,0.90227,0.85775,0.92477,0.64749,1.01275,0.59674,1.17754,0.0008516,0.0008516,0.0008516
60,12238.9,1.0047,0.69767,1.19134,0.92395,0.86452,0.92787,0.65665,1.00531,0.59387,1.17385,0.0008318,0.0008318,0.0008318
61,12450.1,0.97053,0.67267,1.1666,0.90667,0.89161,0.93571,0.65554,1.01075,0.59936,1.17122,0.000812,0.000812,0.000812
62,12662.3,0.9799,0.67188,1.1707,0.92161,0.89505,0.94044,0.67229,0.97779,0.56248,1.15309,0.0007922,0.0007922,0.0007922
63,12874.4,0.98586,0.68244,1.17674,0.91562,0.88129,0.92866,0.67014,0.97381,0.56191,1.16107,0.0007724,0.0007724,0.0007724
64,13068.6,0.97461,0.67667,1.16709,0.91067,0.8813,0.92964,0.66532,0.99134,0.57215,1.17013,0.0007526,0.0007526,0.0007526
65,13245.9,0.97126,0.67737,1.16476,0.91803,0.86968,0.9352,0.67099,0.97639,0.55775,1.15307,0.0007328,0.0007328,0.0007328
66,13423.2,0.95461,0.67029,1.16167,0.91702,0.88645,0.93727,0.68276,0.94995,0.53282,1.14125,0.000713,0.000713,0.000713
67,13600.1,0.95038,0.65582,1.16263,0.89572,0.9088,0.9407,0.67066,0.97612,0.56886,1.15815,0.0006932,0.0006932,0.0006932
68,13777.1,0.97604,0.65867,1.17088,0.91741,0.88516,0.9411,0.67046,0.97787,0.55767,1.1563,0.0006734,0.0006734,0.0006734
69,13954.5,0.94079,0.64646,1.15239,0.9164,0.89114,0.93487,0.66867,0.98488,0.55581,1.16027,0.0006536,0.0006536,0.0006536
70,14132.7,0.92529,0.64311,1.15632,0.92775,0.89161,0.94276,0.67811,0.94696,0.5415,1.12681,0.0006338,0.0006338,0.0006338
71,14310.4,0.94496,0.6441,1.15061,0.93327,0.90234,0.94614,0.68336,0.95693,0.53807,1.14387,0.000614,0.000614,0.000614
72,14487.8,0.95884,0.64953,1.16274,0.91491,0.88797,0.9452,0.68869,0.94761,0.51678,1.13871,0.0005942,0.0005942,0.0005942
73,14665.9,0.92345,0.63045,1.14611,0.91844,0.91097,0.9501,0.67566,0.96796,0.53498,1.14751,0.0005744,0.0005744,0.0005744
74,14844.6,0.956,0.64786,1.16337,0.90453,0.90968,0.94463,0.67972,0.96783,0.53501,1.14099,0.0005546,0.0005546,0.0005546
75,15020.9,0.93281,0.62936,1.15006,0.93673,0.88903,0.9473,0.69097,0.9408,0.51895,1.12687,0.0005348,0.0005348,0.0005348
76,15196.9,0.94077,0.64562,1.15152,0.92322,0.88903,0.93863,0.68868,0.93971,0.52437,1.13078,0.000515,0.000515,0.000515
77,15373.8,0.92153,0.61764,1.1378,0.92039,0.89806,0.94249,0.68861,0.94971,0.5225,1.13674,0.0004952,0.0004952,0.0004952
